гэж	pron. as,that
би	pron. I
өөрийн	pron. his,own
тэр	pron. he,she,would
байсан	v. was,had,were,did,been
нь	adv. for, with, from, is, to, a/an, in, which, will, fact, whose
дээр	prep. on,up,over
байна	v. are,have,has,am
тэд	pron. they
байх	v. be,stay
үед	adv. at,when,during
нэг	adj. one,same,single
энэ	pron. this,it
өөр	adj. by,else,another
халуун	adj. hot
үг	n. word
харин	adv. but,while,rather
ямар	pron. what
зарим	adj. some
хэрэв та	pron. you
буюу	conj. or
олон тоо	art. the
 -ийн	prep. of
болон	conj. and
бид	pron. we
болох	v. can,could,may,happen
гарах	v. out,to leave/exit
бусад	n. other,rest,except
хийх	v. do,make,to do
тэдний	pron. their
цаг	n. time,hour,clock,term
хэрэв	conj. if
хэрхэн	adv. how
гэж хэлсэн	v. said,told
тус бүр	adj. each
хэлэх	v. tell
вэ	v. does
багц	v. set
гурван	adj. three
хүсэж байна	v. want
агаар	n. air
сайн	adj. well,good,better,good
мөн	adv. also,too
тоглох	v. play,to play
жижиг	adj. small
эцсийн	adj. end,final
тавих	v. put,lay,to put
нүүр хуудас	n. home
уншсан	v. read
гар	n. hand,arm,arm
порт	n. port
их хэмжээний	adj. large
ид шид	n. spell
нэмэх	v. add
тэр ч байтугай	adj. even
газар	n. land, place, area, station, earth
энд	adj. here,there
байх ёстой	adv. must,should
том	adj. big
өндөр	adj. high,tall,tall
зэрэг	adj. such, order, degree
дагах	v. follow
акт	n. act
яагаад	adv. why
асуух	v. ask,to ask
эрэгтэй	n. men
өөрчлөлт	v. change
явав	v. went
гэрэл	n. light,shine
төрөл	n. kind,type
унтраах	v. off
хэрэгтэй	v. need
байшин	n. house
зураг	n. picture,figure,chart
оролдох	v. to try
ану-ын	pron. us
дахин	adv. again
мал	n. animal
амьтны	n. animal
цэг	n. point
ээж	n. mother
дэлхийн	n. world
ойролцоо	adj. near
барих	v. build,take,hold,catch,touch
өөрөө	pron. self
дэлхий	n. earth
аав	n. father,dad
ямар ч	???. any,no
шинэ	adj. new,fresh
ажил	n. work,job
хэсэг	n. part, piece, fraction, section, bit, segment
авах	v. get,to take
хийсэн	v. made
амьдарч байна	v. live
хаана	adv. where
дараа	conj. after,then
буцааж	adj. back
бага	adj. little,low,less
нь зөвхөн	adj. only
дугуй	adj. round,wheel,tire,circle
хүн	n. man,people,who,person
жил	n. year
ирсэн	v. came
шоу	n. show
бүх	adj. every,all
намайг	pron. me
өгөх	v. give,provide,to give
манай	pron. our
дагуу	prep. under
нэр	n. name
маш их	adj. very,much,lot
дамжуулан	n. prepthrough
зүгээр л	adv. just
хэлбэр	n. form,shape
өгүүлбэр	n. sentence,phrase
агуу их	adj. great
гэж боддог	v. think
гэж хэлэх	v. say
туслах	v. to help
мөр	n. line,string,shoulder
өөр	adj. differ,vary
ээлж	v. turn
шалтгаан	n. cause,reason
гэсэн үг	n. mean,meant
өмнө	prep. before, ago
алхам	n. move,step
эрх	adj. right
хүү	n. boy,interest,son,son
хуучин	adj. old
ашиглах	v. use
таны	pron. your
арга зам	n. way
тухай	prep. about
олон	adj. many
тэднийг	pron. them
бичих	v. write,to write
шиг	adj. like
тийм	adj. so
эдгээр	n. these
түүнийг	pron. her,him
урт	adj. long
зүйл	n. thing
 -г үзнэ үү	v. see
хоёр	adj. two
харах	v. look,watch,view,to see/look at
дэлгэрэнгүй	adj. more
өдөр	n. day
явах	v. go,ride,to go/leave for
ирэх	v. come,arrive,to come
тоо	n. number,count
сонсогдож	n. sound
хамгийн их	adj. most
миний	pron. my
мэдэх	v. know,to know
ус	n. water
илүү	adj. than
дуудлага	n. call
эхний	adj. first
доош	prep. down
тал	n. side
яг одоо	prep. now
олох	v. find,locate
дарга	n. head,chair
зогсож	v. stand
хуудас	n. page,sheet,slip
улс орон	n. country,nation
олдлоо	v. found
хариулт	n. answer
сургууль	n. school
ургадаг	v. grow
судалгаа	v. study
хэвээр	adj. still
сурах	v. learn,to study
ургамал	n. plant
хамгаалах	v. cover
хоол хүнс	n. food
нар	n. sun
дөрвөн	adj. four
хооронд	prep. between
улсын	n. state
байлгах	v. keep, carry, retain
нүдний	n. eye
хэзээ ч	???. never
өнгөрсөн	adj. last,past
зөвшөөрөх	v. let
гэж бодсон	v. thought
мод	n. stick,wood/tree
гаталж	n. cross
аж ахуй	n. farm
хатуу	adj. hard,solid
эхлэл	n. start
байж болох юм	n. might
түүх	n. story,pick,history
харсан	v. saw
хол	adj. far
далайн	n. sea
зурж	v. draw
зүүн	adj. left,east
сүүлээр	adj. late
урсгал	v. run,flow
хийж чадахгүй	???. don’t
гэж сонгоод	v. press,select
ойр	adj. close
шөнө	n. night
бодит	adj. real
амьдрал	n. life
хэдэн	adj. few, how many
хойд	adj. north
ном	n. book
авч явах	v. carry
авч	v. took
шинжлэх ухаан	n. science
идэж	v. eat
өрөө	n. room
найз	n. friend
эхэлсэн	v. began
санаа	n. idea
загас	n. fish
уулын	n. mountain
зогсоох	v. stop
нэг удаа	adj. once
үндсэн	adj. base,main,basic
сонсооч	v. hear
морь	n. horse
тайрах	v. cut
байгаа эсэхийг	adj. sure
өнгө	n. color
нүүр	n. face,front,lake
нээлттэй	adj. open
шиг санагддаг	v. seem
хамтдаа	adj. together
дараагийн	adj. next
цагаан	adj. white
хүүхдүүд	n. children
эхлэх	v. begin,to start,to begin
авсан	v. got
алхах	v. walk
жишээ	n.example
хөнгөвчлөх	v. ease
цаас	n. paper
бүлэг	n. group
үргэлж	adv. always
дуу хөгжим	n. music
тэдгээр	pron. those
аль аль нь	adj. both
тэмдэг	n. mark,sign,symbol
нь ихэвчлэн	adj. often
бичиг	n. letter
хүртэл	conj. until
милийн	n. mile
голын	n. river
машины	n. car
хөл	n. feet, leg
тусламж	v. care
хоёр дахь	adj. second
хангалттай	adj. enough
энгийн	adj. plain,simple
охин	n. girl,daughter
ердийн	adj. usual
залуу	adj. young
бэлэн	adj. ready
дээр дурдсан	prep. above
хэзээ нэгэн цагт	adv. ever
улаан	adj. red
жагсаалт	n. list
хэдийгээр	conj. though
мэдрэх	v. feel
хэлэлцүүлэг	v. talk
шувуу	n. bird
удахгүй	adj. soon
байгууллага	n. body, organ
нохой	n. dog
гэр бүл	n. family
шууд	adj. direct
загвар	v. pose
орхих	v. to leave
дуу	n. song
хэмжих	v. measure
хаалга	n. door
бүтээгдэхүүн	n. product
хар	adj. black
богино	adj. short
тооны нэр	n. numeral
анги	n. class
салхины	n. wind
асуулт	n. question
бүрэн	adj. complete, full
хөлөг онгоц	n. ship
тэн	adj. equal
хагас	adj. half
чулуулгийн	n. rock
гал түймэр	n. fire
урд	adj. south
асуудал	n. problem,matter
мэдэж байсан	v. knew
өнгөрөх	v. pass
учир	n. since, reason
дээд	prep. top
бүхэлд	adj. whole
хаан	n. king
инчийн	n. inch
үржүүлэх	v. multiply
юу ч биш	???. nothing
мэдээж	n. course
хүч	n. force
хөх	adj. blue
объект	n. object
шийдвэр	v. decide
газрын гадаргын	n. surface
гүн гүнзгий	adj. deep
сар	n. moon
арал	n. island
систем	n. system
завгүй	adj. busy
туршилтын	n. test
бичлэг	n. record
завь	n. boat
нийтлэг	adj. common
алт	n. gold
аль болох	adj. possible
нисэх онгоц	n. plane
үүний оронд	n. stead
гайхдаг	v. wonder
инээд	v. laugh
гүйж	v. ran
шалгах	v. check
тоглоом	n. game
тэнцэхгүй	v. equate
өнгөрөөх	v. miss
авчирсан	v. brought
дулаан	n. heat,warm
цас	n. snow
авчрах	v. bring
хэрэв тийм бол	???. yes
холын	adj. distant
бөглөх	v. fill
будаг	n. paint
хэл	n. language, tongue
дунд	prep. adj. among, middle, satisfactory
нэгж	n. unit
эрчим хүч	n. power
нарийн	adj. fine, thin
тодорхой	adj. certain,clear
ялаа	v. fly
унах	v. fall,to fall
хүргэдэг	v. lead
хашхирах	v. cry
харанхуй	adj. dark
машин	n. machine,car
тэмдэглэл	n. note
хүлээх	v. wait,to wait
төлөвлөгөө	n. plan
од	n. star
хайрцаг	n. box
нэр үг	n. noun
талбар	n. field
зөв	adj. correct,proper
боломжтой	v. able
фунт	n. pound
хийгдсэн	v. done
гоо сайхан	n. beauty
хөтөч	v. drive
зогсов	v. stood
агуулсан	v. contain
заах	v. teach,to teach
долоо хоног	n. week
өгсөн	v. gave
ногоон	adj. green
өө	???. oh
хурдан	adj. quick
боловсрох	v. develop
далай	n. ocean
чөлөөт	adj. free
минут	n. minute
хүчтэй	adj. strong
тусгай	adj. special
оюун ухаан	n. mind
ард	prep. behind
сүүл	n. tail
үйлдвэрлэх	v. produce
орон зай	n. space
сонслоо	v. heard
хамгийн сайн	adj. best
үнэн	adj. true
зуун	adj. hundred
таван	adj. five
санаж	v. remember
эрт	adj. early
баруун тийш	adj. west
газрын	n. ground
хүрэх	v. reach,to touch
үйл үг	n. verb
дуулах	v. sing,to sing
сонсох	v. listen,to listen
зургаан	adj. six
хүснэгт	n. table
аялал жуулчлалын	n. travel
өглөө	n. morning
арван	adj. ten
хэд хэдэн	adj. several
эгшиг	n. vowel
рүү	adv. toward
дайн	n. war
эсрэг	adj. against,opposite
хэв маяг	n. pattern
удаан	adj. slow
төв	n. center
хайр	n. love,favor
мөнгө	n. money
үйлчлэх	v. serve,to serve
гарч ирэх	v. appear
авто зам	n. road
газрын зураг	n. map
бороо	n. rain
дүрэм	n. rule
удирдах	v. govern
татах	v. pull
хүйтэн	adj. cold
мэдээлэл	n. notice
дуу хоолой	n. voice
эрчим хүчний	n. energy
ан	v. hunt
магадлалтай	adj. probable
ор	n. bed
ах дүү	n. brother
өндөг	n. egg
эсийн	n. cell
гэдэгт итгэдэг	v. believe
магадгүй	adv. perhaps
гэнэт	adj. sudden
дөрвөлжин	n. square
төлөөлөх	v. represent
урлаг	n. art
хичээл	n. subject
бүс нутаг	n. region
хэмжээ	n. size,deal
барагдуулах	v. settle
үг хэлэх	v. speak
жин	n. weight
ерөнхий	n. general,chief
мөс	n. ice
тойрог	n. circle
хос	n. pair
оруулах	v. include
хуваагдал	v. divide
үет	n. syllable
эсгий	v. felt
их	adj. grand,a lot of
бөмбөг	n. ball
одоогоор	adv. yet
долгионы	n. wave
унагаах	v. drop
зүрхний	n. heart
өнөөгийн	n. present
хүнд	adj. heavy
бүжгийн	n. dance
хөдөлгүүр	n. engine
албан тушаал	n. position
өргөн	adj. wide,broad
онгоцны далбаа	n. sail
материал	n. material
ой	n. forest
суух	v. sit,to sit
уралдаан	n. race
цонх	n. window
дэлгүүр	n. store,shop,electronics store,antique shop
зуны	n. summer
галт тэрэг	n. train
унтах	v. sleep,to sleep
нотлох	v. prove
цорын ганц	adj. lone
хөлөө	n. leg
дасгал	n. exercise
ханын	n. wall
холбох	v. mount,connect
хүсвэл	v. wish
тэнгэр	n. sky
туз-ийн	n. board
баяр хөөр	n. joy
өвөл	n. winter
орохдоо	v. sat
бичсэн	v. written,wrote
зэрлэг	adj. wild
арга хэрэгсэл	n. instrument,tool
хадгалах	v. kept,save
шилэн	n. glass
өвс	n. grass
үнээ	n. cow
зах	n. edge,market
айлчлал	v. visit
зөөлөн	adj. soft,gentle
хөгжилтэй	adj. fun
гэрэл гэгээтэй	adj. bright
хий	n. gas
цаг агаар	n. weather
сарын	n. month
сая	adj. million
үүрэх	n. bear
барианы	v. finish
аз жаргалтай	adj. happy
гэдэгт найдаж байна	v. hope
цэцэг	n. flower
хувцаслан	v. clothe
хачин	adj. strange
илааршсан	v. gone
гадаад худалдааны	n. trade
аялгуу	n. melody
аялал	n. trip,hiking
оффис	n. office
хүлээн авах	v. receive
эгнээ	n. row
агшин	n. mouth
яг	adj. exact,quite
үхэх	n. die
наад зах	adj. least
гай	n. trouble
орө	n. shout
үрийн	n. seed
ая	n. tone
нэгдэхийг	n. join
санал болгож байна	v.suggest
цэвэр	v.clean
завсарлага	n. break
эмэгтэй	n. lady,woman
талбай	n. yard,squire
босох	v.rise,to get up
муу	adj. bad
цохилт	v. blow
газрын тос	n. oil
цусны	n. blood
өссөн	v. grew,rose
хувь	n. fraction, percent
холино	n. mix
баг	n. team
утас	n. wire,thread
зардал	n. cost
алдагдсан	v. lost
бор	adj. brown
өмсөж	v. wear
цэцэрлэг	n. garden
тэнцүү	adj. equal
илгээсэн	v. sent
сонгох	v. choose,to choose
буурсан	v. fell
таарах	v. fit,to fit
шударга	adj. fair
банк	n. bank
цуглуулах	v. collect
хяналтын	v. control
аравтын	n. decimal
чихний	n. ear
эвдсэн	v. broke
хэрэг	n. case
алах	v. kill
мөч	n. moment
хэмжээний	n. scale
чанга	adj. loud
хавар	n. spring
ажиглах	v. observe
хүүхэд	n. child,baby
шулуун	adj. straight
гийгүүлэгч	n. consonant
ончтой үр дүн	n. dictionary
сүү	n. milk
хурд	n. speed
арга	n. method
төлөх	v. pay,to pay
нас	n. age
хувцас	n. dress,clothes
үүл	n. cloud
нам гүм	adj. quiet
чулуу	n. stone
жижигхэн	adj. tiny
өсөх	v. climb
сэрүүн	adj. cool
зураг төсөл	n. design
ядуу	adj. poor
туршилт	n. experiment
доод	prep. bottom
гол	n. key,stream,major,river
төмрийн	n. iron
хавтгай	adj. flat
хорин	adj. twenty
арьс	n. skin
инээмсэглэл	n. smile
уртасгахад	n. crease
нүх	n. hole
үсрэх	v. jump,to jump
найман	adj. eight
тосгон	n. village
хангасан	v. meet
эх	n. root,original
худалдан авах	v. buy,to buy
өсөлт	v. raise
шийдвэрлэх	v. solve
металл	n. metal
эсэх	conj. whether
түлхэх	v. push
долоон	adj. seven
догол	n. paragraph
гурав дахь	adj. third
болно	v. shall
зохион байгуулав	v. held
үс	n. hair
тайлбарлах	v. describe,to explain
тогооч	n. cook,cook/chef
шал	n. floor
аль нэг	adj. either
үр дүн	n. result
шарах	v. burn
толгой	n. hill,head
аюулгүй	adj. safe
муур	n. cat
зууны	n. century
авч үзэх	v. consider
хууль	n. law
эрэг	n. coast,shore
хуулбар	n. copy
чимээгүй	adj. silent
хөрс	n. soil
өнхрөх	v. roll
температур	n. temperature
хуруу	n. finger
аж үйлдвэрийн	n. industry
үнэ цэнэ	n. value
тэмцэл	v. fight
худал	v. lie
зодож	v. beat
сэтгэл татна	v. excite
байгалийн	adj. natural
мэдрэмж	n. sense
капитал	n. capital
тийм юм байхгүй	???. won’t
аюул	n. danger
жимс	n. fruit
баян	adj. rich
зузаан	adj. thick
цэрэг	n. soldier
үйл явц	n. process
үйл ажиллагаа явуулах	ov. perate
практик	n. practice
тус тусад	adj. separate
хүнд хэцүү	adj. difficult
эмч	n. doctor
үү	???. please
хамгаалах	v. protect
үд	n. noon
газар тариалан	n. crop
орчин үеийн	adj. modern
элемент	n. element
хит	n. hit
оюутан	n. student
булангийн	n. corner
нам	n. party
хангамж	n. supply
бөгж	n. ring
тэмдэгт	n. character
шавьж	n. insect,insects
татлаа	v. caught
хугацаа	n. period
харуулж байна	v. indicate
радио	n. radio
ярьсан	v. spoke
атомын	n. atom
хүний	n. human
үр нөлөө	n. effect
цахилгаан	n. electric,lightening/bolt
найдах	v. expect
ясны	n. bone
төмөр замын	n. rail
төсөөлж	v. imagine
санал нэгтэй	v. agree
ийн	adv. thus
ахмад	n. captain
таах	v. guess,to guess
шаардлагатай	adj. necessary,require
